#label,component_name,tag,footprint,vendor
######## resistance ########,,,,
mosfet,TPCA8051-H,n,,
mosfet,TPCA8052-H,n,,
mosfet,TPCA8053-H,n,,
mosfet,TPCA8055-H,n,,
mosfet,TPCA8056-H,n,,
mosfet,TPCA8057-H,n,,
mosfet,TPCA8058-H,n,,
mosfet,TPCA8059-H,n,,
mosfet,TPCA8062-H,n,,
mosfet,TPCA8063-H,n,,
mosfet,TPCA8064-H,n,,
mosfet,TPCA8065-H,n,,
mosfet,TPCA8068-H,n,,
mosfet,TPCA8075,n,,
mosfet,TPCA8078,n,,
mosfet,TPCA8080,n,,
mosfet,TPCA8081,n,,
mosfet,TPCA8082,n,,
mosfet,TPCA8083,n,,
mosfet,TPCA8084,n,,
mosfet,TPCA8085,n,,
mosfet,TPCA8086,n,,
mosfet,TPCA8087,n,,
mosfet,TPCA8088,n,,
mosfet,TPCC8005-H,n,,
mosfet,TPCC8006-H,n,,
mosfet,TPCC8007,n,,
mosfet,TPCC8008,n,,
mosfet,TPCC8062-H,n,,
mosfet,TPCC8064-H,n,,
mosfet,TPCC8065-H,n,,
mosfet,TPCC8066-H,n,,
mosfet,TPCC8067-H,n,,
mosfet,TPCC8068-H,n,,
mosfet,TPCC8069,n,,
mosfet,TPCC8070,n,,
mosfet,TPCC8073,n,,
mosfet,TPCC8074,n,,
mosfet,TPCC8076,n,,
mosfet,TPCC8084,n,,
mosfet,TPCC8093,n,,
mosfet,TPCF8002,n,,
mosfet,TPCF8003,n,,
mosfet,TPCF8004,n,,
mosfet,TPCP8003-H,n,,
mosfet,TPCP8004,n,,
mosfet,TPCP8005-H,n,,
mosfet,TPCP8006,n,,
mosfet,TPCP8007-H,n,,
mosfet,TPCP8009,n,,
mosfet,TPCP8010,n,,
mosfet,TPCP8011,n,,
mosfet,TPCP8012,n,,
mosfet,TPCP8013,n,,
mosfet,TPCP8204,n,,
mosfet,TPH11003NL,n,,
mosfet,TPH12008NH,n,,
mosfet,TPH14006NH,n,,
mosfet,TPH1400ANH,n,,
mosfet,TPH2R306NH,n,,
mosfet,TPH4R008NH,n,,
mosfet,TPH4R50ANH,n,,
mosfet,TPH4R606NH,n,,
mosfet,TPH5R906NH,n,,
mosfet,TPH6R003NL,n,,
mosfet,TPH7R506NH,n,,
mosfet,TPH8R008NH,n,,
mosfet,TPH8R80ANH,n,,
mosfet,TPH8R903NL,n,,
mosfet,TPHR9003NL,n,,
mosfet,TPN11003NL,n,,
mosfet,TPN13008NH,n,,
mosfet,TPN14006NH,n,,
mosfet,TPN1600ANH,n,,
mosfet,TPN2R203NC,n,,
mosfet,TPN2R503NC,n,,
mosfet,TPN4R203NC,n,,
mosfet,TPN6R003NL,n,,
mosfet,TPN7R506NH,n,,
mosfet,TPN8R903NL,n,,
mosfet,2SJ168,p,,
mosfet,2SJ305,p,,
mosfet,2SJ360,p,,
mosfet,2SJ668,p,,
mosfet,2SJ680,p,,
mosfet,2SJ681,p,,
mosfet,SSM3J09FU,p,,
mosfet,SSM3J108TU,p,,
mosfet,SSM3J109TU,p,,
mosfet,SSM3J112TU,p,,
mosfet,SSM3J113TU,p,,
mosfet,SSM3J114TU,p,,
mosfet,SSM3J115TU,p,,
mosfet,SSM3J117TU,p,,
mosfet,SSM3J118TU,p,,
mosfet,SSM3J120TU,p,,
mosfet,SSM3J129TU,p,,
mosfet,SSM3J130TU,p,,
mosfet,SSM3J132TU,p,,
mosfet,SSM3J133TU,p,,
