品番,ライフサイクル,グループ,機能1,機能2,V<sub>CC</sub> (Min)(V),V<sub>CC</sub> (Max)(V),I<sub>O</sub> (Min)(mA),tpd_tpz (Typ.)(nsec),ピン数,面実装区分,パッケージ名(Toshiba),
"TC74LCX74FT","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","14","Y","TSSOP14",
"TC74LCX74F","","TC74LCX","Flip-Flop","D-Type Flip-Flop","1.65","3.6","24","","14","Y","SOP14",
"TC74LCX86FK","","TC74LCX","Gate","Exclusive-OR","1.65","3.6","24","","14","Y","US14",
"TC74LCX86FT","","TC74LCX","Gate","Exclusive-OR","1.65","3.6","24","","14","Y","TSSOP14",
"TC74LCX86F","","TC74LCX","Gate","Exclusive-OR","1.65","3.6","24","","14","Y","SOP14",
"TC74LCXR163245FT","","TC74LCX","Gate","Dual Supply Bus Transceiver","","","","","48","Y","TSSOP48",
"TC74LCXR164245FT","","TC74LCX","Gate","Dual Supply Bus Transceiver","","","","","48","Y","TSSOP48",
"TC74LCXZ240FK","","TC74LCXZ","Gate","Bus Buffer","2.7","3.6","36","","20","Y","US20",
"TC74LCXZ240FT","","TC74LCXZ","Gate","Bus Buffer","2.7","3.6","36","","20","Y","TSSOP20",
"TC74LCXZ244FK","","TC74LCXZ","Gate","Bus Buffer","2.7","3.6","36","","20","Y","US20",
"TC74LCXZ244FT","","TC74LCXZ","Gate","Bus Buffer","2.7","3.6","36","","20","Y","TSSOP20",
"TC74LCXZA240FK","","TC74LCXZA","Gate","Bus Buffer","2.3","2.7","18","","20","Y","US20",
"TC74LCXZA240FT","","TC74LCXZA","Gate","Bus Buffer","2.3","2.7","18","","20","Y","TSSOP20",
"TC74LCXZA244FK","","TC74LCXZA","Gate","Bus Buffer","2.3","2.7","18","","20","Y","US20",
"TC74LCXZA244FT","","TC74LCXZA","Gate","Bus Buffer","2.3","2.7","18","","20","Y","TSSOP20",
"TC74LVX00FT","","TC74LVX","Gate","NAND","2","3.6","4","4.1","14","Y","TSSOP14",
"TC74LVX00F","","TC74LVX","Gate","NAND","2","3.6","4","4.1","14","Y","SOP14",
"TC74LVX02FT","","TC74LVX","Gate","NOR","2","3.6","4","4.5","14","Y","TSSOP14",
"TC74LVX02F","","TC74LVX","Gate","NOR","2","3.6","4","4.5","14","Y","SOP14",
"TC74LVX04FT","","TC74LVX","Gate","Inverter","2","3.6","4","4.1","14","Y","TSSOP14",
"TC74LVX04F","","TC74LVX","Gate","Inverter","2","3.6","4","4.1","14","Y","SOP14",
"TC74LVX08FT","","TC74LVX","Gate","AND","2","3.6","4","4.8","14","Y","TSSOP14",
"TC74LVX08F","","TC74LVX","Gate","AND","2","3.6","4","4.8","14","Y","SOP14",
"TC74LVX125FT","","TC74LVX","Gate","Bus Buffer","2","3.6","4","4.4","14","Y","TSSOP14",
"TC74LVX125F","","TC74LVX","Gate","Bus Buffer","2","3.6","4","4.4","14","Y","SOP14",
"TC74LVX138FT","","TC74LVX","Decoder","3-to-8 Line Decoder","2","3.6","4","5.5","16","Y","TSSOP16",
