品番	ライフサイクル	製品分類	パッケージ名(Toshiba)
2SC5352	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-3P(N)
2SC5353	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC5355	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	DPAK
2SC5356	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	DPAK
2SC5361	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220FL
2SC5368	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC5376F	生産終了予定	低周波増幅用トランジスタ	ESM
2SC5422	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5439	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC5445	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5446	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5458	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC5459	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC5460	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC5465	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC5466	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC5548	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
2SC5549	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	LSTM
2SC5550	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
2SC5562	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
2SC5563	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
2SC5570	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5590	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5612	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5720	生産終了予定	低周波増幅用トランジスタ	Mini
2SC5748	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5765	生産終了予定	低周波増幅用トランジスタ	Mini
2SC5766	生産終了予定	低周波増幅用トランジスタ	TSM
2SC5858	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5859	生産終了予定	水平偏向出力用パワートランジスタ	TO-3P(LH)
2SC5886	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	New PW-Mold
2SC5930	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC6010	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC6026	生産終了予定	低周波増幅用トランジスタ	fSM
2SC6034	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC6040	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC6042	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC6052	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	New PW-Mold
2SC6060	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220SIS
2SC6062	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TSM
2SC6067	生産終了予定	低周波増幅用トランジスタ	Mini
2SC6072	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-220SIS
2SC6075	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
2SC6077	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPL
2SC6078	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPL
2SC6079	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC6087	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPS
2SC6132	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC6136	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-92
2SC6139	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	MSTM
2SC6140	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TPL
2SC732TM	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC752(G)TM	生産終了予定	低周波増幅用トランジスタ	TO-92
2SC982TM	生産終了予定	低周波増幅用トランジスタ	TO-92
2SD1140	生産終了予定	低周波用バイポーラパワートランジスタ	LSTM
2SD1160	生産終了予定	低周波用バイポーラパワートランジスタ	PW-Mold
2SD1220	生産終了予定	低周波用バイポーラパワートランジスタ	PW-Mold
2SD1221	生産終了予定	低周波用バイポーラパワートランジスタ	PW-Mold
2SD1222	生産終了予定	低周波用バイポーラパワートランジスタ	PW-Mold
2SD1224	生産終了予定	低周波用バイポーラパワートランジスタ	PW-Mold
2SD1314	生産終了予定	低周波用バイポーラパワートランジスタ	TO-3P(L)
2SD1407A	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD1409A	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD1410A	新規設計非推奨	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD1411A	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD1412A	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD1415A	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD1508	生産終了予定	低周波用バイポーラパワートランジスタ	TO-126
2SD1509	新規設計非推奨	低周波用バイポーラパワートランジスタ	TO-126
2SD1525	生産終了予定	低周波用バイポーラパワートランジスタ	TO-3P(L)
2SD1631	生産終了予定	低周波用バイポーラパワートランジスタ	MSTM
2SD1658	生産終了予定	低周波用バイポーラパワートランジスタ	TO-126
2SD1662	生産終了予定	低周波用バイポーラパワートランジスタ	TO-3P(N)
2SD1784	新規設計非推奨	低周波用バイポーラパワートランジスタ	PW-Mini
2SD1947A	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2012	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2075A	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2079	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2088	生産終了予定	低周波用バイポーラパワートランジスタ	LSTM
2SD2092	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2127	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2129	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2130	生産終了予定	低周波用バイポーラパワートランジスタ	TO-126
2SD2131	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2204	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2206A	生産終了予定	低周波用バイポーラパワートランジスタ	LSTM
2SD2206	新規設計非推奨	低周波用バイポーラパワートランジスタ	LSTM
2SD2241	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2257	新規設計非推奨	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2352	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2353	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2385	生産終了予定	低周波用バイポーラパワートランジスタ	TO-3P(L)
2SD2406	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220NIS
2SD2414(SM)	生産終了予定	低周波用バイポーラパワートランジスタ	TO-220SM
