品番	ライフサイクル	製品分類	パッケージ名(Toshiba)
SSM3J01F	生産終了予定	小信号MOSFET	S-Mini
SSM3J01T	生産終了予定	小信号MOSFET	TSM
SSM3J02F	生産終了予定	小信号MOSFET	S-Mini
SSM3J02T	生産終了予定	小信号MOSFET	TSM
SSM3J05FU	生産終了予定	小信号MOSFET	USM
SSM3J110TU	生産終了予定	小信号MOSFET	UFM
SSM3J111TU	生産終了予定	小信号MOSFET	UFM
SSM3J13T	生産終了予定	小信号MOSFET	TSM
SSM3J15TE	生産終了予定	小信号MOSFET	TESM
SSM3J16TE	生産終了予定	小信号MOSFET	TESM
SSM3J312T	生産終了予定	小信号MOSFET	TSM
SSM3J313T	生産終了予定	小信号MOSFET	TSM
SSM3J317T	生産終了予定	小信号MOSFET	TSM
SSM3K02F	生産終了予定	小信号MOSFET	S-Mini
SSM3K02T	生産終了予定	小信号MOSFET	TSM
SSM3K03FE	生産終了予定	小信号MOSFET	ESM
SSM3K03FV	生産終了予定	小信号MOSFET	VESM
SSM3K03TE	生産終了予定	小信号MOSFET	TESM
SSM3K04FE	生産終了予定	小信号MOSFET	ESM
SSM3K04FS	生産終了予定	小信号MOSFET	SSM
SSM3K04FU	生産終了予定	小信号MOSFET	USM
SSM3K04FV	生産終了予定	小信号MOSFET	VESM
SSM3K05FU	生産終了予定	小信号MOSFET	USM
SSM3K101TU	生産終了予定	小信号MOSFET	UFM
SSM3K102TU	生産終了予定	小信号MOSFET	UFM
SSM3K105TU	生産終了予定	小信号MOSFET	UFM
SSM3K107TU	生産終了予定	小信号MOSFET	UFM
SSM3K126TU	生産終了予定	小信号MOSFET	UFM
SSM3K128TU	生産終了予定	小信号MOSFET	UFM
SSM3K12T	生産終了予定	小信号MOSFET	TSM
SSM3K14T	生産終了予定	小信号MOSFET	TSM
SSM3K15FV	新規設計非推奨	小信号MOSFET	VESM
SSM3K15TE	生産終了予定	小信号MOSFET	TESM
SSM3K16TE	生産終了予定	小信号MOSFET	TESM
SSM3K311T	生産終了予定	小信号MOSFET	TSM
SSM3K7002AF	生産終了予定	小信号MOSFET	S-Mini
SSM5G01TU	生産終了予定	異種混載複合デバイス (P-ch + SBD)	UFV
SSM5H03TU	生産終了予定	異種混載複合デバイス (N-ch + SBD)	UFV
SSM5H14F	新規設計非推奨	異種混載複合デバイス (N-ch + SBD)	SMV
SSM5H90TU	新規設計非推奨	異種混載複合デバイス (N-ch + SW-Di)	UFV
SSM5N03FE	生産終了予定	小信号MOSFET 2 in 1	ESV
SSM5N05FU	生産終了予定	小信号MOSFET 2 in 1	USV
SSM5P05FU	生産終了予定	小信号MOSFET 2 in 1	USV
SSM6E02TU	生産終了予定	異種混載複合デバイス (P-ch + N-ch)	UF6
SSM6J06FU	生産終了予定	小信号MOSFET	US6
SSM6J07FU	生産終了予定	小信号MOSFET	US6
SSM6J21TU	生産終了予定	小信号MOSFET	UF6
SSM6J51TU	新規設計非推奨	小信号MOSFET	UF6
SSM6K06FU	生産終了予定	小信号MOSFET	US6
SSM6K07FU	生産終了予定	小信号MOSFET	US6
SSM6K08FU	生産終了予定	小信号MOSFET	US6
SSM6K18TU	生産終了予定	小信号MOSFET	UF6
SSM6K32TU	生産終了予定	小信号MOSFET	UF6
SSM6K34TU	生産終了予定	小信号MOSFET	UF6
SSM6L05FU	生産終了予定	小信号MOSFET 2 in 1	US6
SSM6L10TU	生産終了予定	小信号MOSFET 2 in 1	UF6
SSM6N03FE	生産終了予定	小信号MOSFET 2 in 1	ES6
SSM6N04FU	生産終了予定	小信号MOSFET 2 in 1	US6
SSM6N05FU	生産終了予定	小信号MOSFET 2 in 1	US6
SSM6N15FE	新規設計非推奨	小信号MOSFET 2 in 1	ES6
SSM6N29TU	生産終了予定	小信号MOSFET 2 in 1	UF6
SSM6N7002AFU	生産終了予定	小信号MOSFET 2 in 1	US6
SSM6P05FU	生産終了予定	小信号MOSFET 2 in 1	US6
SSM6P09FU	新規設計非推奨	小信号MOSFET 2 in 1	US6
SSM6P26TU	生産終了予定	小信号MOSFET 2 in 1	UF6
TJ120F06J3	新規設計非推奨	パワーMOSFET (P-ch 1素子)	TO-220SM(W)
TK07H90A	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(W)
TK09H90A	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(W)
TK12D60U	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220(W)
TK12X60U	新規設計非推奨	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TFP
TK13H90A1	生産終了予定	パワーMOSFET (N-ch 700V&lt;VDSS)	TO-3P(W)
TK15D60U	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220(W)
TK15H50C	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(W)
TK15J60T	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)
TK15X60U	新規設計非推奨	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TFP
TK16H60C	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(W)
TK19H50C	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(W)
TK20A60T	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220SIS
TK20D60T	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220(W)
TK20D60U	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220(W)
TK20E60U	新規設計非推奨	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220
TK20H50C	生産終了予定	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(W)
TK20J60T	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)
TK20J60U	新規設計非推奨	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)
TK20X60U	新規設計非推奨	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TFP
TK30A06J3A	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220SIS
TK30A06J3	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220SIS
TK30J25D	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-3P(N)
TK40A10J1	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220SIS
TK40D10J1	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220(W)
TK40J20D	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-3P(N)
TK40J60T	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)
TK40J60U	新規設計非推奨	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)
TK45S06K3L	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	DPAK+
TK50J30D	新規設計非推奨	パワーMOSFET (N-ch 250V&lt;VDSS&le;500V)	TO-3P(N)
TK50J60U	新規設計非推奨	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-3P(N)
TK55A10J1	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220SIS
TK55D10J1	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220(W)
TK60A08J1	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220SIS
TK60D08J1	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220(W)
TK60J25D	新規設計非推奨	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TO-3P(N)
TK6B60D	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
TK70A06J1	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220SIS
TK70D06J1	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-220(W)
TK70J04K3Z	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(N)
TK70J06K3	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(N)
TK75J04K3Z	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TO-3P(N)
TK80D08K3	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TO-220(W)
TK8B50D	生産終了予定	パワーMOSFET (N-ch 500V&lt;VDSS&le;700V)	TO-220NIS
TPC6003	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	VS-6
TPC6004	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	VS-6
TPC6005	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	VS-6
TPC6006-H	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	VS-6
TPC6007-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	VS-6
TPC6101	生産終了予定	パワーMOSFET (P-ch 1素子)	VS-6
TPC6102	生産終了予定	パワーMOSFET (P-ch 1素子)	VS-6
TPC6103	新規設計非推奨	パワーMOSFET (P-ch 1素子)	VS-6
TPC6104	生産終了予定	パワーMOSFET (P-ch 1素子)	VS-6
TPC6105	生産終了予定	パワーMOSFET (P-ch 1素子)	VS-6
TPC6106	生産終了予定	パワーMOSFET (P-ch 1素子)	VS-6
TPC6107	生産終了予定	パワーMOSFET (P-ch 1素子)	VS-6
TPC6108	生産終了予定	パワーMOSFET (P-ch 1素子)	VS-6
TPC8009-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8010-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8012-H	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	SOP-8
TPC8014	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8017-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8018-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8021-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8022-H	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	SOP-8
TPC8024-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8026	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8027	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8028	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8029	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8030	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8032-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8035-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8036-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8037-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8038-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8039-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8040-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8041	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8042	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8060-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8061-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPC8105-H	生産終了予定	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8107	生産終了予定	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8109	生産終了予定	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8110	生産終了予定	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8111	生産終了予定	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8112	生産終了予定	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8114	生産終了予定	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8115	生産終了予定	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8116-H	生産終了予定	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8117	新規設計非推奨	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8118	新規設計非推奨	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8119	新規設計非推奨	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8121	新規設計非推奨	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8122	新規設計非推奨	パワーMOSFET (P-ch 1素子)	SOP-8
TPC8203	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8207	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8208	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8209	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8210	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8211	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8212-H	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8213-H	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8214-H	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8216-H	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8218-H	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8221-H	新規設計非推奨	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8405	生産終了予定	パワーMOSFET (PNコンプリ)	SOP-8
TPC8406-H	生産終了予定	パワーMOSFET (PNコンプリ)	SOP-8
TPC8A01	生産終了予定	パワーMOSFET (N-ch 2素子)	SOP-8
TPC8A03-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP-8
TPCA8003-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8004-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8005-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8009-H	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	SOP Advance
TPCA8011-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8012-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8014-H	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	SOP Advance
TPCA8015-H	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	SOP Advance
TPCA8016-H	生産終了予定	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	SOP Advance
TPCA8018-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8020-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	SOP Advance
TPCA8022-H	生産終了予定	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	SOP Advance
TPCA8024	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8025	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8026	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8027-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	SOP Advance
TPCA8028-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8030-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8031-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8036-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8039-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8040-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8060-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8103	生産終了予定	パワーMOSFET (P-ch 1素子)	SOP Advance
TPCA8104	新規設計非推奨	パワーMOSFET (P-ch 1素子)	SOP Advance
TPCA8105	新規設計非推奨	パワーMOSFET (P-ch 1素子)	SOP Advance
TPCA8106	新規設計非推奨	パワーMOSFET (P-ch 1素子)	SOP Advance
TPCA8107-H	新規設計非推奨	パワーMOSFET (P-ch 1素子)	SOP Advance
TPCA8108	新規設計非推奨	パワーMOSFET (P-ch 1素子)	SOP Advance
TPCA8A02-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8A04-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8A05-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCA8A08-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	SOP Advance
TPCC8001-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TSON Advance
TPCC8002-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TSON Advance
TPCC8003-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TSON Advance
TPCC8009	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TSON Advance
TPCC8061-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TSON Advance
TPCC8102	新規設計非推奨	パワーMOSFET (P-ch 1素子)	TSON Advance
TPCF8102	生産終了予定	パワーMOSFET (P-ch 1素子)	VS-8
TPCF8103	生産終了予定	パワーMOSFET (P-ch 1素子)	VS-8
TPCF8104	新規設計非推奨	パワーMOSFET (P-ch 1素子)	VS-8
TPCF8301	生産終了予定	パワーMOSFET (P-ch 2素子)	VS-8
TPCF8302	新規設計非推奨	パワーMOSFET (P-ch 2素子)	VS-8
TPCF8303	生産終了予定	パワーMOSFET (P-ch 2素子)	VS-8
TPCM8001-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TSSOP Advance
TPCM8002-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TSSOP Advance
TPCM8003-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TSSOP Advance
TPCM8102	生産終了予定	パワーMOSFET (P-ch 1素子)	TSSOP Advance
TPCP8001-H	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	PS-8
TPCP8002	生産終了予定	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	PS-8
TPCP8008-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	PS-8
TPCP8101	生産終了予定	パワーMOSFET (P-ch 1素子)	PS-8
TPCP8201	生産終了予定	パワーMOSFET (N-ch 2素子)	PS-8
TPCP8202	生産終了予定	パワーMOSFET (N-ch 2素子)	PS-8
TPCP8301	生産終了予定	パワーMOSFET (P-ch 2素子)	PS-8
TPCP8302	生産終了予定	パワーMOSFET (P-ch 2素子)	PS-8
TPCP8402	生産終了予定	パワーMOSFET (PNコンプリ)	PS-8
TPCP8501	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PS-8
TPCP8603	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PS-8
TPCP8A05-H	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	PS-8
TPCP8AA1	生産終了予定	異種混載複合デバイス (N-ch + SBD)	PS-8
TPCP8BA1	生産終了予定	異種混載複合デバイス (P-ch + SBD)	PS-8
TPCP8H01	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PS-8
TPCS8004	生産終了予定	パワーMOSFET (N-ch 150V&lt;VDSS&le;250V)	TSSOP-8
TPCS8104	生産終了予定	パワーMOSFET (P-ch 1素子)	TSSOP-8
TPCS8105	生産終了予定	パワーMOSFET (P-ch 1素子)	TSSOP-8
TPCS8208	生産終了予定	パワーMOSFET (N-ch 2素子)	TSSOP-8
TPCS8209	生産終了予定	パワーMOSFET (N-ch 2素子)	TSSOP-8
TPCS8210	生産終了予定	パワーMOSFET (N-ch 2素子)	TSSOP-8
TPCS8303	生産終了予定	パワーMOSFET (P-ch 2素子)	TSSOP-8
TPCT4203	生産終了予定	パワーMOSFET (N-ch 2素子)	STP2
TPCT4204	生産終了予定	パワーMOSFET (N-ch 2素子)	STP2
TPN22006NH	新規設計非推奨	パワーMOSFET (N-ch 1素子 30V&lt;VDSS&le;60V)	TSON Advance
TPN30008NH	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TSON Advance
TPN3300ANH	新規設計非推奨	パワーMOSFET (N-ch 1素子 60V&lt;VDSS&le;150V)	TSON Advance
TPN6R303NC	新規設計非推奨	パワーMOSFET (N-ch 1素子 VDSS&le;30V)	TSON Advance
TTA004	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-126
TTC003	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	PW-Mold
TTC004	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	TO-126
TTC009	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-220NIS
TTC011	新規設計非推奨	高速スイッチング用バイポーラパワートランジスタ	TO-126
TTC13003L	生産終了予定	高速スイッチング用バイポーラパワートランジスタ	LSTM
TTK101TK	生産終了予定	接合形FET (面実装タイプ)	TESM3
