品番,ライフサイクル,極性,V<sub>DSS</sub>(V),V<sub>GSS</sub>(V),I<sub>D</sub>(A),P<sub>D</sub>(W),Ciss(pF),Qg(nC),R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.2V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.8V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=2.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=6V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=10V,ピン数,面実装区分,パッケージ名(Toshiba),
"TK12J60W","新製品","N-ch","600","","11.5","110","890","25","","","","","","","","0.3","3","N","TO-3P(N)",
"TK12P60W","新製品","N-ch","600","","11.5","100","890","25","","","","","","","","0.34","3","Y","DPAK",
"TK12Q60W","新製品","N-ch","600","","11.5","100","890","25","","","","","","","","0.34","3","N","IPAK",
"TK12X53D","","N-ch","525","","12","150","1350","12","","","","","","","","0.58","4","Y","TFP",
"TK130F06K3","","N-ch","60","","130","300","8400","170","","","","","","","","0.0034","3","Y","TO-220SM(W)",
"TK13A25D","","N-ch","250","","13","35","1100","25","","","","","","","","0.25","3","N","TO-220SIS",
"TK13A45D","","N-ch","450","","13","45","1350","25","","","","","","","","0.46","3","N","TO-220SIS",
"TK13A50DA","","N-ch","500","","12.5","45","1550","28","","","","","","","","0.47","3","N","TO-220SIS",
"TK13A50D","","N-ch","500","","13","45","1800","38","","","","","","","","0.4","3","N","TO-220SIS",
"TK13A55DA","","N-ch","550","","12.5","45","1800","38","","","","","","","","0.48","3","N","TO-220SIS",
"TK13A60D","","N-ch","600","","13","50","2300","40","","","","","","","","0.43","3","N","TO-220SIS",
"TK13A65D","","N-ch","650","","13","50","2600","45","","","","","","","","0.47","3","N","TO-220SIS",
"TK13A65U","","N-ch","650","","13","40","950","17","","","","","","","","0.38","3","N","TO-220SIS",
"TK13E25D","","N-ch","250","","13","102","1100","25","","","","","","","","0.25","3","N","TO-220AB",
"TK13J65U","","N-ch","650","","13","170","950","17","","","","","","","","0.38","3","","TO-3P(N)",
"TK13P25D","","N-ch","250","","13","96","1100","25","","","","","","","","0.25","3","Y","DPAK",
"TK14A45DA","","N-ch","450","","13.5","45","1550","28","","","","","","","","0.41","3","","TO-220SIS",
"TK14A45D","","N-ch","450","","14","45","1800","38","","","","","","","","0.34","3","","TO-220SIS",
"TK14A55D","","N-ch","550","","14","50","2300","40","","","","","","","","0.37","3","N","TO-220SIS",
"TK150F04K3L","","N-ch","40","","150","300","9400","190","","","","","","","0.0031","0.0021","3","Y","TO-220SM(W)",
"TK150F04K3","","N-ch","40","","150","300","7500","166","","","","","","","","0.0021","3","Y","TO-220SM(W)",
"TK15A20D","","N-ch","200","","15","35","1050","26","","","","","","","","0.18","3","N","TO-220SIS",
"TK15A50D","","N-ch","500","","15","50","2300","40","","","","","","","","0.3","3","N","TO-220SIS",
"TK15A60D","","N-ch","600","","15","50","2600","45","","","","","","","","0.37","3","N","TO-220SIS",
"TK15A60U","","N-ch","600","","15","40","950","17","","","","","","","","0.3","3","N","TO-220SIS",
"TK15E60U","","N-ch","600","","15","170","950","17","","","","","","","","0.3","3","N","TO-220",
"TK15J50D","","N-ch","500","","15","210","1800","38","","","","","","","","0.4","3","N","TO-3P(N)",
"TK15J60U","","N-ch","600","","15","170","950","17","","","","","","","","0.3","3","N","TO-3P(N)",
"TK16A45D","","N-ch","450","","16","50","2300","40","","","","","","","","0.27","3","","TO-220SIS",
"TK16A55D","","N-ch","550","","16","50","2600","45","","","","","","","","0.33","3","N","TO-220SIS",
"TK16A60W5","新製品","N-ch","600","","15.8","40","1350","43","","","","","","","","0.23","3","N","TO-220SIS",
"TK16A60W","新製品","N-ch","600","","15.8","40","1350","38","","","","","","","","0.19","3","N","TO-220SIS",
"TK16C60W","開発中","N-ch","600","","15.8","130","1350","38","","","","","","","","0.19","3","N","I2PAK",
"TK16E60W","新製品","N-ch","600","","15.8","130","1350","38","","","","","","","","0.19","3","N","TO-220",
"TK16G60W","新製品","N-ch","600","","15.8","130","1350","38","","","","","","","","0.19","3","Y","D2PAK",
"TK16J55D","","N-ch","550","","16","250","2300","40","","","","","","","","0.37","3","N","TO-3P(N)",
"TK16J60W","新製品","N-ch","600","","15.8","130","1350","38","","","","","","","","0.19","3","N","TO-3P(N)",
"TK16N60W","新製品","N-ch","600","","15.8","130","1350","38","","","","","","","","0.19","3","N","TO-247",
"TK17A25D","","N-ch","250","","17","45","1650","43","","","","","","","","0.15","3","N","TO-220SIS",
"TK17A65U","","N-ch","650","","17","45","1450","27","","","","","","","","0.26","3","N","TO-220SIS",
