品番,ライフサイクル,極性,V<sub>DSS</sub>(V),V<sub>GSS</sub>(V),I<sub>D</sub>(A),P<sub>D</sub>(W),Ciss(pF),Qg(nC),R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.2V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.8V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=2.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=6V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=10V,ピン数,面実装区分,パッケージ名(Toshiba),
"2SJ168","","P-ch","-60","+/-20","-0.2","","","","","","","","","","","2","3","Y","S-Mini",
"2SJ305","","P-ch","-30","+/-20","-0.2","","","","","","","4","","","","","3","Y","S-Mini",
"2SJ360","","P-ch","-60","","-1","1.5","155","6.5","","","","","1.2","","","0.73","3","Y","PW-Mini",
"2SJ668","","P-ch","-60","","-5","20","","15","","","","","0.25","","","0.17","3","Y","New PW-Mold",
"2SJ680","","P-ch","-200","","-2.5","20","410","10","","","","","","","","2.0","3","N","New PW-Mold2",
"2SJ681","","P-ch","-60","","-5","20","","15","","","","","0.25","","","0.17","3","N","New PW-Mold2",
"2SK1062","","N-ch","60","+/-20","0.2","","","","","","","","","","","1","3","Y","S-Mini",
"2SK1359","","N-ch","1000","","5","125","700","60","","","","","","","","3.8","3","N","TO-3P(N)",
"2SK1828","","N-ch","20","10","0.05","","","","","","","40","","","","","3","Y","S-Mini",
"2SK1829","","N-ch","20","10","0.05","","","","","","","40","","","","","3","Y","USM",
"2SK1830","","N-ch","20","10","0.05","","","","","","","40","","","","","3","Y","SSM",
"2SK2009","","N-ch","30","+/-20","0.2","","","","","","","2","","","","","3","Y","S-Mini",
"2SK2033","","N-ch","20","10","0.1","","","","","","","12","","","","","3","Y","S-Mini",
"2SK2034","","N-ch","20","10","0.1","","","","","","","12","","","","","3","Y","USM",
"2SK2035","","N-ch","20","10","0.1","","","","","","","12","","","","","3","Y","SSM",
"2SK2036","","N-ch","20","10","0.1","","","","","","","6","","","","","3","Y","S-Mini",
"2SK2037","","N-ch","20","10","0.1","","","","","","","6","","","","","3","Y","USM",
"2SK2601","","N-ch","500","","10","125","1200","30","","","","","","","","1","3","N","TO-3P(N)",
"2SK2602","","N-ch","600","","6","125","1300","30","","","","","","","","1.25","3","N","TO-3P(N)",
"2SK2607","","N-ch","800","","9","150","2160","68","","","","","","","","1.2","3","N","TO-3P(N)",
"2SK2613","","N-ch","1000","","8","150","2000","65","","","","","","","","1.7","3","N","TO-3P(N)",
"2SK2699","","N-ch","600","","12","150","2600","58","","","","","","","","0.65","3","N","TO-3P(N)",
"2SK2719","","N-ch","900","","3","125","750","25","","","","","","","","4.3","3","N","TO-3P(N)",
"2SK2847","","N-ch","900","","8","85","2040","58","","","","","","","","1.4","3","N","TO-3P(N)IS",
"2SK2865","","N-ch","600","","2","20","380","9","","","","","","","","5","3","Y","New PW-Mold",
"2SK2917","","N-ch","500","","18","90","3720","80","","","","","","","","0.27","3","N","TO-3P(N)IS",
"2SK2963","","N-ch","100","","1","1.5","140","6.3","","","","","0.95","","","0.7","3","Y","PW-Mini",
"2SK2964","","N-ch","30","","2","1.5","","5.8","","","","","0.25","","","0.18","3","Y","PW-Mini",
"2SK2992","","N-ch","200","","1","1.5","90","3","","","","","","","","3.5","3","Y","PW-Mini",
"2SK3017","","N-ch","900","","8.5","90","2150","70","","","","","","","","1.25","3","N","TO-3P(N)IS",
"2SK3132","","N-ch","500","","50","250","11000","280","","","","","","","","0.095","3","N","TO-3P(L)",
"2SK3301","","N-ch","900","","1","20","165","6","","","","","","","","20","3","Y","New PW-Mold",
"2SK3438","","N-ch","600","","10","80","1200","28","","","","","","","","1","4","Y","TFP",
"2SK3466","","N-ch","500","","5","50","780","17","","","","","","","","1.5","4","Y","TFP",
"2SK3471","","N-ch","500","","0.5","1.5","75","3.8","","","","","","","","18","3","N","PW-Mini",
"2SK3473","","N-ch","900","","9","150","1450","38","","","","","","","","1.6","3","N","TO-3P(N)",
"2SK3544","","N-ch","450","","13","100","1600","34","","","","","","","","0.4","4","Y","TFP",
"2SK3561","","N-ch","500","","8","40","","28","","","","","","","","0.85","3","N","TO-220SIS",
"2SK3562","","N-ch","600","","6","40","","28","","","","","","","","1.25","3","N","TO-220SIS",
"2SK3563","","N-ch","500","","5","35","","16","","","","","","","","1.5","3","N","TO-220SIS",
"2SK3564","","N-ch","900","","3","40","700","17","","","","","","","","4.3","3","N","TO-220SIS",
"2SK3565","","N-ch","900","","5","45","1150","28","","","","","","","","2.5","3","N","TO-220SIS",
"2SK3566","","N-ch","900","","2.5","40","470","12","","","","","","","","6.4","3","N","TO-220SIS",
"2SK3567","","N-ch","600","","3.5","35","","16","","","","","","","","2.2","3","N","TO-220SIS",
"2SK3568","","N-ch","500","","12","40","","42","","","","","","","","0.52","3","N","TO-220SIS",
"2SK3569","","N-ch","600","","10","45","","42","","","","","","","","0.75","3","N","TO-220SIS",
"2SK3633","","N-ch","800","","7","150","1500","35","","","","","","","","1.7","3","N","TO-3P(N)",
"2SK3667","","N-ch","600","","7.5","45","","33","","","","","","","","1","3","N","TO-220SIS",
"2SK3700","","N-ch","900","","5","150","1150","28","","","","","","","","2.5","3","N","TO-3P(N)",
"2SK3742","","N-ch","900","","5","45","1150","25","","","","","","","","2.5","3","N","TO-220SIS",
"2SK3767","","N-ch","600","","2","25","320","9","","","","","","","","4.5","3","N","TO-220SIS",
"2SK3797","","N-ch","600","","13","50","","62","","","","","","","","0.43","3","N","TO-220SIS",
"2SK3798","","N-ch","900","","4","40","800","26","","","","","","","","3.5","3","N","TO-220SIS",
"2SK3799","","N-ch","900","","8","50","2200","60","","","","","","","","1.3","3","N","TO-220SIS",
"2SK3842","","N-ch","60","","75","125","","196","","","","","","","","0.0058","4","Y","TFP",
"2SK3843","","N-ch","40","","75","125","","210","","","","","","0.008","","0.0035","4","Y","TFP",
"2SK3878","","N-ch","900","","9","150","2200","60","","","","","","","","1.3","3","N","TO-3P(N)",
"2SK3880","","N-ch","800","","6.5","80","1500","35","","","","","","","","1.7","3","N","TO-3P(N)IS",
"2SK3934","","N-ch","500","","15","50","","62","","","","","","","","0.30","3","N","TO-220SIS",
"2SK3940","","N-ch","75","","70","150","","200","","","","","","","","0.007","3","N","TO-3P(N)",
"2SK3947","","N-ch","600","","6","40","","28","","","","","","","","1.4","3","N","TO-220SIS",
"2SK4012","","N-ch","500","","13","45","","50","","","","","","","","0.4","3","N","TO-220SIS",
"2SK4013","","N-ch","800","","6","45","1500","45","","","","","","","","1.7","3","N","TO-220SIS",
"2SK4014","","N-ch","900","","6","45","1400","45","","","","","","","","2.0","3","N","TO-220SIS",
"2SK4017","","N-ch","60","","5","20","","15","","","","","0.15","","","0.10","3","N","New PW-Mold2",
"2SK4033","","N-ch","60","","5","20","","15","","","","","0.15","","","0.10","3","Y","New PW-Mold",
"2SK4034","","N-ch","60","","75","125","","196","","","","","","0.01","","0.0058","4","Y","TFP",
"2SK4115","","N-ch","900","","7","150","1650","45","","","","","","","","2.0","3","N","TO-3P(N)",
"2SK4207","","N-ch","900","","13","150","2790","45","","","","","","","","0.95","3","N","TO-3P(N)",
"HN1K02FU","","N-ch x 2","20","10","0.05","","","","","","","40","","","","","6","Y","US6",
"HN1K03FU","","N-ch x 2","20","10","0.1","","","","","","","12","","","","","6","Y","US6",
"HN4K03JU","","N-ch x 2","20","10","0.1","","","","","","","12","","","","","5","Y","USV",
"SSM3J09FU","","P-ch","-30","+/-20","-0.2","","","","","","","","4.2","","","","3","Y","USM",
"SSM3J108TU","","P-ch","-20","+/-8","-1.8","","","","","","0.363","0.23","0.158","","","","3","Y","UFM",
"SSM3J109TU","","P-ch","-20","+/-8","-2","","","","","","0.3","0.172","0.13","","","","3","Y","UFM",
"SSM3J112TU","","P-ch","-30","+/-20","-1.1","","","","","","","","0.79","","","0.39","3","Y","UFM",
"SSM3J113TU","","P-ch","-20","+/-12","-1.7","","","","","","","0.249","0.169","","","","3","Y","UFM",
"SSM3J114TU","","P-ch","-20","+/-8","-1.8","","","","","0.526","0.321","0.199","0.149","","","","3","Y","UFM",
"SSM3J115TU","","P-ch","-20","+/-8","-2.2","","","","","0.353","0.193","0.125","0.098","","","","3","Y","UFM",
"SSM3J117TU","","P-ch","-30","+/-20","-2","","","","","","","","0.225","","","0.117","3","Y","UFM",
"SSM3J118TU","","P-ch","-30","+/-20","-1.4","","","","","","","","0.48","","","0.24","3","Y","UFM",
"SSM3J120TU","","P-ch","-20","+/-8","-4","","","","","0.140","0.078","0.049","0.038","","","","3","Y","UFM",
"SSM3J129TU","","P-ch","-20","+/-8","-4.6","","","","","0.137","0.088","0.062","","0.046","","","3","Y","UFM",
"SSM3J130TU","","P-ch","-20","+/-8","-4.4","","","24.8","","0.0632","0.0411","0.031","","0.0258","","","3","Y","UFM",
"SSM3J132TU","","P-ch","-12","+/-6","-5.4","","2700","33","0.094","0.039","0.029","0.021","","0.017","","","3","Y","UFM",
"SSM3J133TU","","P-ch","-20","+/-8","-5.5","","840","12.8","","0.0884","0.056","0.0397","","0.0298","","","3","Y","UFM",
"SSM3J134TU","","P-ch","-20","+/-8","-3.2","","290","4.7","","0.240","0.168","0.123","","0.093","","","3","Y","UFM",
"SSM3J135TU","","P-ch","-20","+/-8","-3","","270","4.6","","0.260","0.180","0.132","","0.103","","","3","Y","UFM",
"SSM3J14T","","P-ch","-30","+/-20","-2.7","","","","","","","","0.17","0.145","","","3","Y","TSM",
"SSM3J15CT","","P-ch","-30","+/-20","-0.1","","","","","","","32","","","","","3","Y","CST3",
"SSM3J15FS","","P-ch","-30","+/-20","-0.1","","","","","","","32","","","","","3","Y","SSM",
"SSM3J15FU","","P-ch","-30","+/-20","-0.1","","","","","","","32","","","","","3","Y","USM",
"SSM3J15FV","","P-ch","-30","+/-20","-0.1","","","","","","","32","","","","","3","Y","VESM",
"SSM3J15F","","P-ch","-30","+/-20","-0.1","","","","","","","32","","","","","3","Y","S-Mini",
"SSM3J16CT","","P-ch","-20","+/-10","-0.1","","","","","45","","","","","","","3","Y","CST3",
"SSM3J16FS","","P-ch","-20","+/-10","-0.1","","","","","45","","","","","","","3","Y","SSM",
"SSM3J16FU","","P-ch","-20","+/-10","-0.1","","","","","45","","","","","","","3","Y","USM",
"SSM3J16FV","","P-ch","-20","+/-10","-0.1","","","","","45","","","","","","","3","Y","VESM",
"SSM3J304T","","P-ch","-20","+/-8","-2.3","","","","","","0.297","0.169","0.127","","","","3","Y","TSM",
"SSM3J305T","","P-ch","-30","+/-20","-1.7","","","","","","","","0.477","","","0.237","3","Y","TSM",
"SSM3J306T","","P-ch","-30","+/-20","-2.4","","","","","","","","0.225","","","0.117","3","Y","TSM",
"SSM3J307T","","P-ch","-20","+/-8","-5","","","","","0.083","0.056","0.040","","0.031","","","3","Y","TSM",
"SSM3J314T","","P-ch","-30","+/-20","-3.5","","","","","","","","0.100","","","0.054","3","Y","TSM",
"SSM3J321T","","P-ch","-20","+/-8","-5.2","","","","","0.137","0.088","0.062","","0.046","","","3","Y","TSM",
"SSM3J325F","","P-ch","-20","+/-8","-2","","270","4.6","","0.311","0.231","0.179","","0.15","","","3","Y","S-Mini",
"SSM3J326T","","P-ch","-30","+/-12","-5.6","","650","9.3","","","0.115","0.0625","","0.0457","","0.0393","3","Y","TSM",
"SSM3J327F","","P-ch","-20","+/-8","-3.5","","290","","","0.242","0.170","0.125","","0.095","","","3","Y","S-Mini",
"SSM3J327R","","P-ch","-20","+/-8","-3.9","","290","","","0.240","0.168","0.123","","0.093","","","3","Y","SOT-23F",
"SSM3J328R","","P-ch","-20","+/-8","-6","","840","","","0.0884","0.056","0.0397","","0.0298","","","3","Y","SOT-23F",
"SSM3J331R","新製品","P-ch","-20","+/-8","-4","","630","","","0.15","0.1","0.075","","0.055","","","3","Y","SOT-23F",
"SSM3J332R","","P-ch","-30","+/-12","-6","","560","","","","0.144","0.072","","0.05","","0.042","3","Y","SOT-23F",
"SSM3J334R","","P-ch","-30","+/-20","-4","","280","","","","","","0.136","0.105","","0.071","3","Y","SOT-23F",
"SSM3J35CT","","P-ch","-20","+/-10","-0.1","","","","8","22","","11","8","","","","3","Y","CST3",
"SSM3J35FS","","P-ch","-20","+/-10","-0.1","","","","8","22","","11","8","","","","3","Y","SSM",
"SSM3J35MFV","","P-ch","-20","+/-10","-0.13","","","","45","","","","","","","","3","Y","VESM",
"SSM3J36FS","","P-ch","-20","+/-8","-0.33","","","","","3.6","2.7","","","1.31","","","3","Y","SSM",
"SSM3J36MFV","","P-ch","-20","+/-8","-0.33","","","","","3.6","2.7","","","1.31","","","3","Y","VESM",
"SSM3J36TU","","P-ch","-20","+/-8","-0.33","","","","","3.6","2.7","","","1.31","","","3","Y","UFM",
"SSM3J46CTB","","P-ch","-20","+/-8","-2","","290","4.7","","0.25","0.178","0.133","","0.103","","","3","Y","CST3B",
"SSM3J56MFV","","P-ch","-20","+/-8","-0.8","","100","1.6","4","0.9","0.66","0.48","","0.39","","","3","Y","VESM",
"SSM3K01F","","N-ch","30","+/-10","1.3","","","","","","","","0.12","","","","3","Y","S-Mini",
"SSM3K01T","","N-ch","30","+/-10","3.2","","","","","","","0.15","0.12","","","","3","Y","TSM",
"SSM3K09FU","","N-ch","30","+/-20","0.4","","","","","","","","1.2","","","","3","Y","USM",
"SSM3K104TU","","N-ch","20","+/-12","3","","","","","","0.11","0.074","0.056","","","","3","Y","UFM",
"SSM3K106TU","","N-ch","20","+/-20","1.2","","","","","","","","0.53","","","0.31","3","Y","UFM",
"SSM3K116TU","","N-ch","30","+/-12","2.2","","","","","","","0.135","","0.1","","","3","Y","UFM",
"SSM3K119TU","","N-ch","30","+/-12","2.5","","","","","","0.134","0.09","0.074","","","","3","Y","UFM",
"SSM3K121TU","","N-ch","20","+/-10","3.2","","","","","0.140","0.093","0.063","0.048","","","","3","Y","UFM",
"SSM3K122TU","","N-ch","20","+/-10","2","","","","","0.304","0.211","0.161","0.123","","","","3","Y","UFM",
"SSM3K123TU","","N-ch","20","+/-10","4.2","","","","","0.066","0.043","0.032","0.028","","","","3","Y","UFM",
"SSM3K124TU","","N-ch","30","+/-20","2.4","","","","","","","","0.12","","","0.083","3","Y","UFM",
"SSM3K127TU","","N-ch","30","+/-12","2","","","","","","0.286","0.167","0.123","","","","3","Y","UFM",
"SSM3K131TU","","N-ch","30","+/-20","6","","","","","","","","","0.0415","","0.0276","3","Y","UFM",
"SSM3K15ACT","","N-ch","30","+/-20","0.1","","13.5","","","","","6.0","3.6","","","","3","Y","CST3",
"SSM3K15AFS","","N-ch","30","+/-20","0.1","","13.5","","","","","6.0","3.6","","","","3","Y","SSM",
"SSM3K15AFU","新製品","N-ch","30","+/-20","0.1","","13.5","","","","","6.0","3.6","","","","3","Y","USM",
"SSM3K15AMFV","","N-ch","30","+/-20","0.1","","13.5","","","","","6.0","3.6","","","","3","Y","VESM",
"SSM3K15CT","","N-ch","30","+/-20","0.1","","","","","","","7","","","","","3","Y","CST3",
"SSM3K15FS","","N-ch","30","+/-20","0.1","","","","","","","7","","","","","3","Y","SSM",
"SSM3K15FU","","N-ch","30","+/-20","0.1","","","","","","","7","","","","","3","Y","USM",
"SSM3K15F","","N-ch","30","+/-20","0.1","","","","","","","7","","","","","3","Y","S-Mini",
"SSM3K16CT","","N-ch","20","+/-10","0.1","","","","","15","","","","","","","3","Y","CST3",
"SSM3K16FS","","N-ch","20","+/-10","0.1","","","","","15","","","","","","","3","Y","SSM",
"SSM3K16FU","","N-ch","20","+/-10","0.1","","","","","15","","","","","","","3","Y","USM",
"SSM3K16FV","","N-ch","20","+/-10","0.1","","","","","15","","","","","","","3","Y","VESM",
"SSM3K17FU","","N-ch","50","+/-7","0.1","","","","","","","40","","","","","3","Y","USM",
"SSM3K301T","","N-ch","20","+/-12","3.5","","","","","","0.110","0.074","0.056","","","","3","Y","TSM",
"SSM3K302T","","N-ch","30","+/-12","3","","","","","","0.131","0.087","0.071","","","","3","Y","TSM",
"SSM3K303T","","N-ch","30","+/-20","2.9","","","","","","","","0.120","","","0.083","3","Y","TSM",
"SSM3K309T","","N-ch","20","+/-12","4.7","","","","","","0.047","0.035","0.031","","","","3","Y","TSM",
"SSM3K310T","","N-ch","20","+/-8","5","","","","","0.066","0.043","0.032","0.028","","","","3","Y","TSM",
"SSM3K315T","","N-ch","30","+/-20","6","","","","","","","","","0.0415","","0.0276","3","Y","TSM",
"SSM3K316T","","N-ch","30","+/-12","4","","","","","","0.131","0.087","","0.065","","0.053","3","Y","TSM",
"SSM3K318T","","N-ch","60","+/-20","2.5","","","","","","","","","0.145","","0.107","3","Y","TSM",
"SSM3K320T","","N-ch","30","+/-20","4.2","","190","4.6","","","","","","0.077","","0.050","3","Y","TSM",
"SSM3K324R","新製品","N-ch","30","+/-12","4","","200","2.2","","","0.109","0.072","","0.056","","","3","Y","SOT-23F",
"SSM3K329R","","N-ch","30","+/-12","3.5","","123","1.9","","","0.289","0.161","0.126","","","","3","Y","SOT-23F",
"SSM3K333R","","N-ch","30","+/-20","6","","436","3.4","","","","","","0.042","","0.028","3","Y","SOT-23F",
"SSM3K335R","新製品","N-ch","30","+/-20","6","","340","2.7","","","","","","0.056","","0.038","3","Y","SOT-23F",
"SSM3K336R","新製品","N-ch","30","+/-20","3","","126","1.7","","","","","","0.14","","0.095","3","Y","SOT-23F",
"SSM3K337R","開発中","N-ch","38","+/-20","2","","120","","","","","","0.2","0.176","","0.150","3","Y","SOT-23F",
"SSM3K35CT","","N-ch","20","+/-10","0.18","","","","20","8","","4","3","","","","3","Y","CST3",
"SSM3K35FS","","N-ch","20","+/-10","0.18","","","","20","8","","4","3","","","","3","Y","SSM",
"SSM3K35MFV","","N-ch","20","+/-10","0.18","","","","20","8","","4","3","","","","3","Y","VESM",
"SSM3K36FS","","N-ch","20","+/-10","0.5","","","","","1.52","1.14","0.85","","0.66","","","3","Y","SSM",
"SSM3K36MFV","","N-ch","20","+/-10","0.5","","46","","","1.52","1.14","0.85","","0.66","","","3","Y","VESM",
"SSM3K36TU","","N-ch","20","+/-10","0.5","","","","","1.52","1.14","0.85","","0.66","","","3","Y","UFM",
"SSM3K37CT","","N-ch","20","+/-10","0.2","","12","","","5.60","4.05","3.02","","2.20","","","3","Y","CST3",
"SSM3K37FS","","N-ch","20","+/-10","0.2","","12","","","5.60","4.05","3.02","","2.20","","","3","Y","SSM",
"SSM3K37MFV","","N-ch","20","+/-10","0.25","","12","","","5.60","4.05","3.02","","2.20","","","3","Y","VESM",
"SSM3K43FS","","N-ch","20","+/-10","0.5","","46","1.23","","1.52","1.14","0.85","","0.66","","","3","Y","SSM",
"SSM3K44FS","","N-ch","30","+/-20","0.1","","","","","","","7.0","","4.0","","","3","Y","SSM",
"SSM3K44MFV","","N-ch","30","+/-20","0.1","","","","","","","7.0","","4.0","","","3","Y","VESM",
"SSM3K48FU","","N-ch","30","20","0.1","","15.1","","","","","5.4","3.2","","","","3","Y","USM",
"SSM3K56CT","新製品","N-ch","20","+/-8","0.8","","","","","0.84","0.48","0.3","","0.235","","","3","Y","CST3",
"SSM3K56FS","新製品","N-ch","20","+/-8","0.8","","","","","0.84","0.48","0.3","","0.235","","","3","Y","SSM",
"SSM3K56MFV","新製品","N-ch","20","+/-8","0.8","","","","","0.84","0.48","0.3","","0.235","","","3","Y","VESM",
"SSM3K7002AFU","","N-ch","60","+/-20","0.2","","","","","","","","","3.3","","3.0","3","Y","USM",
"SSM3K7002BFS","","N-ch","60","+/-20","0.2","","17.0","","","","","","","3.3","","2.1","3","Y","SSM",
"SSM3K7002BFU","","N-ch","60","+/-20","0.2","","17.0","","","","","","","3.3","","2.1","3","Y","USM",
"SSM3K7002BF","","N-ch","60","+/-20","0.2","","17.0","","","","","","","3.3","","2.1","3","Y","S-Mini",
"SSM3K7002FU","","N-ch","60","+/-20","0.2","","","","","","","","","3.3","","","3","Y","USM",
"SSM3K7002F","","N-ch","60","+/-20","0.2","","","","","","","","","3.3","","3.0","3","Y","S-Mini",
"SSM4K27CT","","N-ch","20","+/-12","0.5","","","","","","0.390","0.260","0.205","","","","4","Y","CST4",
"SSM5N15FE","","N-ch x 2","30","+/-20","0.1","","","","","","","7","","","","","5","Y","ESV",
"SSM5N15FU","","N-ch x 2","30","+/-20","0.1","","","","","","","7","","","","","5","Y","USV",
"SSM5N16FE","","N-ch x 2","20","+/-10","0.1","","","","","15","","","","","","","5","Y","ESV",
"SSM5N16FU","","N-ch x 2","20","+/-10","0.1","","","","","15","","","","","","","5","Y","USV",
"SSM5P15FU","","P-ch x 2","-30","+/-20","-0.1","","","","","","","32","","","","","5","Y","USV",
